material_id,peak_T_C,hold_h,fast_rate_C_min,both_paths_attained,numerical_censored,max_ratio,span_ge_1p2,span_ge_1p5,meaningful,rejection_reason,Q_GB_diffusion,D_GB_prefactor,Q_surface_diffusion,D_surface_prefactor,Q_disconnection_nucleation,v_star,nu0_nucleation,Q_exchange,tau_exchange_prefactor,Q_transport,tau_transport_prefactor,stress_concentration,gamma_s,gamma_GB,zeta_eta_ratio,event_strain,pore_radius0,pore_ln_sigma,G0,rho0,PR_prefactor,PR_partition,activity_form
M001,1550,20,20,True,False,0.9999989676149414,0.0,0.0,False,ratio_or_span_below_threshold,425000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M001,1550,20,50,True,False,0.9999964368791491,0.0,0.0,False,ratio_or_span_below_threshold,425000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M001,1550,20,100,True,False,0.9999953745260066,0.0,0.0,False,ratio_or_span_below_threshold,425000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M002,1350,2,20,True,False,1.0000000250728687,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M002,1350,2,50,True,False,1.0000000224432737,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M002,1350,2,100,True,False,1.0000000208691875,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M002,1450,8,20,True,False,1.0000000250728687,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M002,1450,8,50,True,False,1.0000000224432737,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M002,1450,8,100,True,False,1.0000000208691875,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M002,1550,20,20,True,False,1.0000000250728687,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M002,1550,20,50,True,False,1.0000000224432737,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M002,1550,20,100,True,False,1.0000000208691875,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M003,1350,2,20,True,False,1.0000000280287509,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M003,1350,2,50,True,False,1.0000000289741346,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M003,1350,2,100,True,False,1.0000000291969955,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M003,1450,8,20,True,False,1.0000000280287509,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M003,1450,8,50,True,False,1.0000000289741346,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M003,1450,8,100,True,False,1.0000000291969955,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M003,1550,20,20,True,False,1.0000000280287509,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M003,1550,20,50,True,False,1.0000000289741346,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M003,1550,20,100,True,False,1.0000000291969955,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M004,1350,2,20,True,False,1.0000000280287509,0.0,0.0,False,ratio_or_span_below_threshold,650000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M004,1350,2,50,True,False,1.0000000290332065,0.0,0.0,False,ratio_or_span_below_threshold,650000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M004,1350,2,100,True,False,1.0000000293876468,0.0,0.0,False,ratio_or_span_below_threshold,650000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M004,1450,8,20,True,False,1.0000000280287509,0.0,0.0,False,ratio_or_span_below_threshold,650000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M004,1450,8,50,True,False,1.0000000290332065,0.0,0.0,False,ratio_or_span_below_threshold,650000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M004,1450,8,100,True,False,1.0000000293876468,0.0,0.0,False,ratio_or_span_below_threshold,650000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M004,1550,20,20,True,False,1.0000000280287509,0.0,0.0,False,ratio_or_span_below_threshold,650000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M004,1550,20,50,True,False,1.0000000290332065,0.0,0.0,False,ratio_or_span_below_threshold,650000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M004,1550,20,100,True,False,1.0000000293876468,0.0,0.0,False,ratio_or_span_below_threshold,650000.0,2e-05,250000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M005,1350,2,20,True,False,0.9988581013193379,0.0,0.0,False,ratio_or_span_below_threshold,350000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M005,1350,2,50,True,False,0.9972656144603027,0.0,0.0,False,ratio_or_span_below_threshold,350000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M005,1350,2,100,True,False,0.9967768616740312,0.0,0.0,False,ratio_or_span_below_threshold,350000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M005,1450,8,20,True,False,0.9988581013193379,0.0,0.0,False,ratio_or_span_below_threshold,350000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M005,1450,8,50,True,False,0.9972656144603027,0.0,0.0,False,ratio_or_span_below_threshold,350000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M005,1450,8,100,True,False,0.9967768616740312,0.0,0.0,False,ratio_or_span_below_threshold,350000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M005,1550,20,20,True,False,0.9988581013193379,0.0,0.0,False,ratio_or_span_below_threshold,350000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M005,1550,20,50,True,False,0.9972656144603027,0.0,0.0,False,ratio_or_span_below_threshold,350000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M005,1550,20,100,True,False,0.9967768616740312,0.0,0.0,False,ratio_or_span_below_threshold,350000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M006,1350,2,20,True,False,0.9999989676318422,0.0,0.0,False,ratio_or_span_below_threshold,425000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M006,1350,2,50,True,False,0.9999964368970538,0.0,0.0,False,ratio_or_span_below_threshold,425000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M006,1350,2,100,True,False,0.9999953745519865,0.0,0.0,False,ratio_or_span_below_threshold,425000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M006,1450,8,20,True,False,0.9999989676318422,0.0,0.0,False,ratio_or_span_below_threshold,425000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M006,1450,8,50,True,False,0.9999964368970538,0.0,0.0,False,ratio_or_span_below_threshold,425000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M006,1450,8,100,True,False,0.9999953745519865,0.0,0.0,False,ratio_or_span_below_threshold,425000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M006,1550,20,20,True,False,0.9999989676318422,0.0,0.0,False,ratio_or_span_below_threshold,425000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M006,1550,20,50,True,False,0.9999964368970538,0.0,0.0,False,ratio_or_span_below_threshold,425000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M006,1550,20,100,True,False,0.9999953745519865,0.0,0.0,False,ratio_or_span_below_threshold,425000.0,2e-05,350000.0,0.0002,300000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M007,1350,2,20,True,False,1.0000000250665104,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M007,1350,2,50,True,False,1.000000022453184,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M007,1350,2,100,True,False,1.0000000208929785,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M007,1450,8,20,True,False,1.0000000250665104,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M007,1450,8,50,True,False,1.000000022453184,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M007,1450,8,100,True,False,1.0000000208929785,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M007,1550,20,20,True,False,1.0000000250665104,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M007,1550,20,50,True,False,1.000000022453184,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M007,1550,20,100,True,False,1.0000000208929785,0.0,0.0,False,ratio_or_span_below_threshold,500000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M008,1350,2,20,True,False,1.0000000280128927,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M008,1350,2,50,True,False,1.0000000289586435,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M008,1350,2,100,True,False,1.000000029182342,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M008,1450,8,20,True,False,1.0000000280128927,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M008,1450,8,50,True,False,1.0000000289586435,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M008,1450,8,100,True,False,1.000000029182342,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M008,1550,20,20,True,False,1.0000000280128927,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M008,1550,20,50,True,False,1.0000000289586435,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
M008,1550,20,100,True,False,1.000000029182342,0.0,0.0,False,ratio_or_span_below_threshold,575000.0,2e-05,350000.0,0.0002,300000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.25,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction
