growth_mode,G0_nm,T1_C,rho_switch,rho0,first_step_attained,rho1,G1_nm,first_connected_coverage,first_fine_fraction,first_isolation,first_growth_mobility_factor,first_step_budget_h,second_step_budget_h,T2_C,rho2,G2_nm,density_gain,growth_fraction,second_initial_rho_dot,second_initial_dGdt_nm_s,second_final_rho_dot,second_final_dGdt_nm_s,median_E_G,initial_growth_mobility_factor,final_growth_mobility_factor,initial_junction_time_ratio,initial_migration_drive_ratio,final_connected_coverage,final_mean_radius_nm,final_fine_fraction,final_isolation
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,900.0,0.7503718168834899,93.33911541339543,3.247993629607038e-08,2.629787805476868e-07,8.684614702471354e-14,1.930761704028465e-11,1.0022688276481366e-13,1.4071761783573223e-10,0.13223032349372543,1.0,1.0,0.0,inf,0.22035847913934736,70.68384866229624,0.1770431849584186,0.00024532610393169135
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,925.0,0.7503719726016952,93.33923229887405,1.8819814162629456e-07,1.5152459446339846e-06,4.970567713173796e-13,1.0457643035533204e-10,5.841316042825261e-13,8.226590493448559e-10,0.13359821195274962,1.0,1.0,0.0,inf,0.2156304775865371,72.32643802641157,0.16836245480882037,0.00024532822573912824
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,950.0,0.7503728096996668,93.33984803269114,1.0252961132328764e-06,8.111987045971775e-06,2.673962840742747e-12,5.396473199192249e-10,3.201129516556254e-12,4.440441958477794e-09,0.13639798717722987,1.0,1.0,0.0,inf,0.21235914579966303,73.50838816771878,0.1625203666651208,0.0002453396323030418
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,975.0,0.7503770485574541,93.34285896575729,5.264153900563784e-06,4.0369994255773306e-05,1.3563144217298357e-11,2.665135030175199e-09,1.6525830657347502e-11,2.2120807007856986e-08,0.1409089002986914,1.0,1.0,0.0,inf,0.21068579009934538,74.12881925169403,0.15957942310128526,0.0002453974004718316
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,1000.0,0.7503972697554732,93.35650146902523,2.5485351919596333e-05,0.00018653065578778157,6.501173025185703e-11,1.2642874480029432e-08,8.03216015727628e-11,1.0137006001617429e-07,0.1474262362383244,1.0,1.0,0.0,inf,0.2108337760557171,74.07773503806405,0.1598184829438275,0.000245673167026537
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,1025.0,0.7504878631932077,93.413463101741,0.00011607878965413931,0.0007967962174784901,2.947191897368171e-10,5.773466137568458e-08,3.6595216593031953e-10,4.237688698379159e-07,0.1563124809830105,1.0,1.0,0.0,inf,0.21318163475360702,73.22781616640717,0.16387867062450356,0.00024691244310632427
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,1050.0,0.7508658791118193,93.63017428129751,0.0004940947082657798,0.003118558488174412,1.261459119781998e-09,2.5367054306501267e-07,1.5477894030693774e-09,1.5905076559152752e-06,0.16806005557707834,1.0,1.0,0.0,inf,0.21836052769276634,71.43459692160933,0.1729941734551867,0.000252151333392997
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,1075.0,0.7523110368756832,94.36815966400636,0.0019392524721296711,0.011025056996488189,5.065238120479263e-09,1.0664850671040995e-06,5.974868976677557e-09,5.230553205599638e-06,0.18328251329646378,1.0,1.0,0.0,inf,0.22728397665547137,68.57276346551134,0.18929396259769565,0.0002732248001286999
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,1100.0,0.7572314478709878,96.57583335241826,0.006859663467434274,0.03467724460514004,1.8801299089807634e-08,4.229786785193321e-06,2.0501128348607157e-08,1.470848683038038e-05,0.20225985423813858,1.0,1.0,0.0,inf,0.24068017040794115,64.64026740081384,0.21605261428900605,0.00035908717162719885
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,1125.0,0.7716090335713816,102.42037320945985,0.021237249167827987,0.09729345184201288,6.280603173345754e-08,1.540816714932058e-05,6.113192186046677e-08,3.607740616815117e-05,0.22319696939017405,1.0,1.0,0.0,inf,0.25719558405133025,59.805545473409005,0.2586763596634052,0.0007978183603413579
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,1150.0,0.8083933135435746,118.41885913600125,0.05802152914002101,0.268695227645726,1.8200484168258709e-07,4.967047279158654e-05,1.7091492495451773e-07,0.00010141805858049744,0.23806073134310426,1.0,1.0,0.0,inf,0.26285970149561777,54.30248439372895,0.33003535820795776,0.00612483155613394
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,1175.0,0.8574445011180759,159.50405550513906,0.10707271671452234,0.708866606940546,4.4396585497859825e-07,0.00013735980378962425,1.39860330530187e-07,0.0002257733473176394,0.2046637880669379,1.0,1.0,0.0,inf,0.19546204916640025,53.12064272347505,0.36528840955226194,0.08594412058843467
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,1200.0,0.8797849300808678,218.86712095231172,0.1294131456773142,1.3448602179307763,9.115679482908658e-07,0.0003253918730690748,8.070057075730896e-08,0.0003320800165986752,0.10781324083306687,1.0,1.0,0.0,inf,0.1474456171971659,54.27451890287122,0.3576690337158819,0.2454442299334027
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,1225.0,0.8920219394789778,292.574448057875,0.14165015507542422,2.1345328665580876,1.6268131441710664e-06,0.0006806152972782258,5.8200641610608966e-08,0.0004389642238307151,0.06104852908895429,1.0,1.0,0.0,inf,0.1244045379844764,55.63933154087526,0.3414685167803235,0.3909726459993531
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,1250.0,0.9005698746501498,382.3134773083885,0.15019809024659625,3.0959631570908734,2.631335295396828e-06,0.0013081135294122491,4.6911600776141314e-08,0.0005576726177982136,0.043314117098612145,1.0,1.0,0.0,inf,0.11085762102225571,56.89801646739768,0.3257900168131291,0.5079142646443561
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,1275.0,0.907217247796101,489.9248758011971,0.15684546339254746,4.24887130621695,3.9873094082744905e-06,0.0023827699376813517,4.0123005906459925e-08,0.000691324037045919,0.03502504968762006,1.0,1.0,0.0,inf,0.1016805987925144,58.0187504920243,0.31216084419942924,0.5989178587905152
baseline,25.0,1250.0,0.75,0.7,True,0.7503717844035536,93.33909086719514,0.3477055005261179,0.5317904791479889,0.00024532566136423374,1.0,96.0,96.0,1300.0,0.9126749999699768,616.7316860544902,0.16230321556642324,5.607431895088728,5.779153547423829e-06,0.0041907829790130404,3.5527281951015014e-08,0.0008397150111955029,0.030450735959097232,1.0,1.0,0.0,inf,0.09478622540853704,59.02500652354083,0.300383194550876,0.6691109271709937
baseline,25.0,1300.0,0.75,0.7,True,0.750789934238599,100.07374467946059,0.367050565201901,0.5322249618322465,0.0002510899743904279,1.0,96.0,96.0,900.0,0.7507899696568694,100.07376259285851,3.541827042763401e-08,1.7900197482638585e-07,9.356198023054487e-14,1.4344576296146398e-11,1.0985482641476398e-13,1.0253795189900292e-10,0.2122289403502975,1.0,1.0,0.0,inf,0.2342106556184148,70.57049281609908,0.17768416643139623,0.0002510904683320041
baseline,25.0,1300.0,0.75,0.7,True,0.750789934238599,100.07374467946059,0.367050565201901,0.5322249618322465,0.0002510899743904279,1.0,96.0,96.0,925.0,0.7507901394108465,100.07384797813008,2.051722475249207e-07,1.0322254834925101e-06,5.352012425662118e-13,7.79009643816517e-11,6.401593663037185e-13,5.998661424463284e-10,0.21418458424045916,1.0,1.0,0.0,inf,0.22931029132693473,72.18325809875674,0.1691067112333542,0.0002510928357266746
