growth_mode,G0_nm,T1_C,rho_switch,rho_target,growth_tolerance,first_step_attained,rho1,G1_nm,T_lower_density_C,T_upper_no_growth_C,T_success_lower_C,T_success_upper_C,window_width_C,n_success_T2,minimum_required_growth_tolerance
baseline,25.0,1250.0,0.75,0.9,0.05,True,0.7503717844035536,93.33909086719514,1250.0,1100.0,nan,nan,nan,0,3.0959631570908734
baseline,25.0,1250.0,0.75,0.9,0.1,True,0.7503717844035536,93.33909086719514,1250.0,1125.0,nan,nan,nan,0,3.0959631570908734
baseline,25.0,1250.0,0.8,0.9,0.05,True,0.8002769293531962,117.61642807847912,1250.0,1100.0,nan,nan,nan,0,2.348734881378824
baseline,25.0,1250.0,0.8,0.9,0.1,True,0.8002769293531962,117.61642807847912,1250.0,1125.0,nan,nan,nan,0,2.348734881378824
baseline,25.0,1250.0,0.85,0.9,0.05,True,0.8500462465214175,156.4494425621704,1250.0,1075.0,nan,nan,nan,0,1.636679718729391
baseline,25.0,1250.0,0.85,0.9,0.1,True,0.8500462465214175,156.4494425621704,1250.0,1100.0,nan,nan,nan,0,1.636679718729391
baseline,25.0,1300.0,0.75,0.9,0.05,True,0.750789934238599,100.07374467946059,1250.0,1100.0,nan,nan,nan,0,2.833078528124745
baseline,25.0,1300.0,0.75,0.9,0.1,True,0.750789934238599,100.07374467946059,1250.0,1125.0,nan,nan,nan,0,2.833078528124745
baseline,25.0,1300.0,0.8,0.9,0.05,True,0.8000449205697611,125.45132836269954,1250.0,1100.0,nan,nan,nan,0,2.15276423321505
baseline,25.0,1300.0,0.8,0.9,0.1,True,0.8000449205697611,125.45132836269954,1250.0,1125.0,nan,nan,nan,0,2.15276423321505
baseline,25.0,1300.0,0.85,0.9,0.05,True,0.8500895791200124,166.15100101575698,1250.0,1100.0,nan,nan,nan,0,1.4988771308762412
baseline,25.0,1300.0,0.85,0.9,0.1,True,0.8500895791200124,166.15100101575698,1250.0,1100.0,nan,nan,nan,0,1.4988771308762412
baseline,25.0,1350.0,0.75,0.9,0.05,True,0.7503341500189726,107.61636244727445,1250.0,1100.0,nan,nan,nan,0,2.57857562775168
baseline,25.0,1350.0,0.75,0.9,0.1,True,0.7503341500189726,107.61636244727445,1250.0,1125.0,nan,nan,nan,0,2.57857562775168
baseline,25.0,1350.0,0.8,0.9,0.05,True,0.8003341500189727,135.14943464177247,1250.0,1100.0,nan,nan,nan,0,1.9446172942503759
baseline,25.0,1350.0,0.8,0.9,0.1,True,0.8003341500189727,135.14943464177247,1250.0,1125.0,nan,nan,nan,0,1.9446172942503759
baseline,25.0,1350.0,0.85,0.9,0.05,True,0.8505080985739509,178.29435498578317,1250.0,1100.0,nan,nan,nan,0,1.3503346585792544
baseline,25.0,1350.0,0.85,0.9,0.1,True,0.8505080985739509,178.29435498578317,1250.0,1125.0,nan,nan,nan,0,1.3503346585792544
baseline,35.0,1250.0,0.75,0.9,0.05,True,0.7500709564116657,93.26234296556575,1250.0,1100.0,nan,nan,nan,0,3.0987870730567404
baseline,35.0,1250.0,0.75,0.9,0.1,True,0.7500709564116657,93.26234296556575,1250.0,1125.0,nan,nan,nan,0,3.0987870730567404
baseline,35.0,1250.0,0.8,0.9,0.05,True,0.8000720747488449,117.53184706976661,1250.0,1100.0,nan,nan,nan,0,2.3507245714738145
baseline,35.0,1250.0,0.8,0.9,0.1,True,0.8000720747488449,117.53184706976661,1250.0,1125.0,nan,nan,nan,0,2.3507245714738145
baseline,35.0,1250.0,0.85,0.9,0.05,True,0.850119738943547,156.5507742614024,1250.0,1075.0,nan,nan,nan,0,1.6352620917324663
baseline,35.0,1250.0,0.85,0.9,0.1,True,0.850119738943547,156.5507742614024,1250.0,1100.0,nan,nan,nan,0,1.6352620917324663
baseline,35.0,1300.0,0.75,0.9,0.05,True,0.750387957142268,99.93057513487756,1250.0,1100.0,nan,nan,nan,0,2.8378135594415514
baseline,35.0,1300.0,0.75,0.9,0.1,True,0.750387957142268,99.93057513487756,1250.0,1125.0,nan,nan,nan,0,2.8378135594415514
baseline,35.0,1300.0,0.8,0.9,0.05,True,0.8005861358282987,125.77681501982917,1250.0,1100.0,nan,nan,nan,0,2.1458353648288004
baseline,35.0,1300.0,0.8,0.9,0.1,True,0.8005861358282987,125.77681501982917,1250.0,1125.0,nan,nan,nan,0,2.1458353648288004
baseline,35.0,1300.0,0.85,0.9,0.05,True,0.8503159509413072,166.4662371991065,1250.0,1100.0,nan,nan,nan,0,1.4950312365531095
baseline,35.0,1300.0,0.85,0.9,0.1,True,0.8503159509413072,166.4662371991065,1250.0,1100.0,nan,nan,nan,0,1.4950312365531095
baseline,35.0,1350.0,0.75,0.9,0.05,True,0.7509683781214408,108.0452351900462,1250.0,1100.0,nan,nan,nan,0,2.56590724768817
baseline,35.0,1350.0,0.75,0.9,0.1,True,0.7509683781214408,108.0452351900462,1250.0,1125.0,nan,nan,nan,0,2.56590724768817
baseline,35.0,1350.0,0.8,0.9,0.05,True,0.8009683781214407,135.54725959006527,1250.0,1100.0,nan,nan,nan,0,1.9373841643953216
baseline,35.0,1350.0,0.8,0.9,0.1,True,0.8009683781214407,135.54725959006527,1250.0,1125.0,nan,nan,nan,0,1.9373841643953216
baseline,35.0,1350.0,0.85,0.9,0.05,True,0.8502123305252574,177.87569946077517,1250.0,1100.0,nan,nan,nan,0,1.3547271229373734
baseline,35.0,1350.0,0.85,0.9,0.1,True,0.8502123305252574,177.87569946077517,1250.0,1125.0,nan,nan,nan,0,1.3547271229373734
baseline,50.0,1250.0,0.75,0.9,0.05,True,0.7500058281147879,93.70804150783086,1250.0,1100.0,nan,nan,nan,0,3.080056475211515
baseline,50.0,1250.0,0.75,0.9,0.1,True,0.7500058281147879,93.70804150783086,1250.0,1125.0,nan,nan,nan,0,3.080056475211515
baseline,50.0,1250.0,0.8,0.9,0.05,True,0.8002129591960544,117.76501115035069,1250.0,1100.0,nan,nan,nan,0,2.3446770655574007
baseline,50.0,1250.0,0.8,0.9,0.1,True,0.8002129591960544,117.76501115035069,1250.0,1125.0,nan,nan,nan,0,2.3446770655574007
baseline,50.0,1250.0,0.85,0.9,0.05,True,0.8500630441400464,156.51417098419236,1250.0,1075.0,nan,nan,nan,0,1.6357061080748685
baseline,50.0,1250.0,0.85,0.9,0.1,True,0.8500630441400464,156.51417098419236,1250.0,1100.0,nan,nan,nan,0,1.6357061080748685
baseline,50.0,1300.0,0.75,0.9,0.05,True,0.7509366164157987,100.63031802995384,1250.0,1100.0,nan,nan,nan,0,2.813158621195645
baseline,50.0,1300.0,0.75,0.9,0.1,True,0.7509366164157987,100.63031802995384,1250.0,1125.0,nan,nan,nan,0,2.813158621195645
baseline,50.0,1300.0,0.8,0.9,0.05,True,0.8002116119767769,125.71076921592399,1250.0,1100.0,nan,nan,nan,0,2.146937569648597
baseline,50.0,1300.0,0.8,0.9,0.1,True,0.8002116119767769,125.71076921592399,1250.0,1125.0,nan,nan,nan,0,2.146937569648597
baseline,50.0,1300.0,0.85,0.9,0.05,True,0.8501932258091083,166.33473264977368,1250.0,1100.0,nan,nan,nan,0,1.4965931249835727
baseline,50.0,1300.0,0.85,0.9,0.1,True,0.8501932258091083,166.33473264977368,1250.0,1100.0,nan,nan,nan,0,1.4965931249835727
baseline,50.0,1350.0,0.75,0.9,0.05,True,0.7508399326398152,108.3136473701999,1250.0,1100.0,nan,nan,nan,0,2.557480514817245
baseline,50.0,1350.0,0.75,0.9,0.1,True,0.7508399326398152,108.3136473701999,1250.0,1125.0,nan,nan,nan,0,2.557480514817245
baseline,50.0,1350.0,0.8,0.9,0.05,True,0.8008399326398153,135.59150179232762,1250.0,1100.0,nan,nan,nan,0,1.9363799291355148
baseline,50.0,1350.0,0.8,0.9,0.1,True,0.8008399326398153,135.59150179232762,1250.0,1125.0,nan,nan,nan,0,1.9363799291355148
baseline,50.0,1350.0,0.85,0.9,0.05,True,0.8501112661259326,177.76381916313585,1250.0,1100.0,nan,nan,nan,0,1.3558772626208775
baseline,50.0,1350.0,0.85,0.9,0.1,True,0.8501112661259326,177.76381916313585,1250.0,1125.0,nan,nan,nan,0,1.3558772626208775
baseline,75.0,1250.0,0.75,0.9,0.05,True,0.7500448914442881,97.62396493277603,1250.0,1100.0,nan,nan,nan,0,2.9239564487815377
baseline,75.0,1250.0,0.75,0.9,0.1,True,0.7500448914442881,97.62396493277603,1250.0,1125.0,nan,nan,nan,0,2.9239564487815377
baseline,75.0,1250.0,0.8,0.9,0.05,True,0.8003048391194878,119.21854680208735,1250.0,1100.0,nan,nan,nan,0,2.3066280909161487
baseline,75.0,1250.0,0.8,0.9,0.1,True,0.8003048391194878,119.21854680208735,1250.0,1125.0,nan,nan,nan,0,2.3066280909161487
baseline,75.0,1250.0,0.85,0.9,0.05,True,0.8501248565781386,156.94414817604076,1250.0,1075.0,nan,nan,nan,0,1.6292718028785675
baseline,75.0,1250.0,0.85,0.9,0.1,True,0.8501248565781386,156.94414817604076,1250.0,1100.0,nan,nan,nan,0,1.6292718028785675
baseline,75.0,1300.0,0.75,0.9,0.05,True,0.7507027160631341,103.57158039318705,1250.0,1100.0,nan,nan,nan,0,2.7104319488896365
baseline,75.0,1300.0,0.75,0.9,0.1,True,0.7507027160631341,103.57158039318705,1250.0,1125.0,nan,nan,nan,0,2.7104319488896365
baseline,75.0,1300.0,0.8,0.9,0.05,True,0.8001991532946541,126.83102953480324,1250.0,1100.0,nan,nan,nan,0,2.1212439748296656
