initial_topology,peak_T_C,hold_h,rho_target,rate,attained,base_mechanism,TJ_constraint_mode,HR_pct,beneficial,C_TJ_pore,C_TJ_constraint,C_TJ_relaxed,C_TJ_pinned,R_TJ_pore_drag,Lambda_TJ,K_TJ,Lambda_over_K_TJ,P_comp_TJ,P_TJ_multihit,P_TJ_pore_drag,P_TJ_assisted_densification
baseline,1350.0,8.0,0.85,20.0,False,mech_009,current_all_TJ_multihit,,,,,,,,,,,,,,
baseline,1350.0,8.0,0.85,100.0,False,mech_009,current_all_TJ_multihit,,,,,,,,,,,,,,
baseline,1350.0,8.0,0.9,20.0,False,mech_009,current_all_TJ_multihit,,,,,,,,,,,,,,
baseline,1350.0,8.0,0.9,100.0,False,mech_009,current_all_TJ_multihit,,,,,,,,,,,,,,
baseline,1350.0,20.0,0.85,20.0,True,mech_009,current_all_TJ_multihit,2.2226884919880976,True,0.20643892759913884,0.20643892759913884,0.0,0.0,0.0,0.7973607524973177,0.7717097838398603,1.033239138850649,0.5494835792296278,86.57698193235159,0.0,25.776113109940066
baseline,1350.0,20.0,0.85,100.0,True,mech_009,current_all_TJ_multihit,2.6836179310556605,True,0.20546835408029518,0.20546835408029518,0.0,0.0,0.0,0.797541976204952,0.7680718871509223,1.0383689203407063,0.5495652160882594,88.43042175852129,0.0,26.002628014800585
baseline,1350.0,20.0,0.9,20.0,False,mech_009,current_all_TJ_multihit,,,,,,,,,,,,,,
baseline,1350.0,20.0,0.9,100.0,False,mech_009,current_all_TJ_multihit,,,,,,,,,,,,,,
baseline,1400.0,8.0,0.85,20.0,True,mech_009,current_all_TJ_multihit,0.9962541435620477,False,0.3028196695190857,0.3028196695190857,0.0,0.0,0.0,1.7626484162519425,0.9870448552773303,1.7857834999369817,0.8284101797519849,42.5576110854522,0.0,47.566953523157906
baseline,1400.0,8.0,0.85,100.0,True,mech_009,current_all_TJ_multihit,1.7289700000507977,True,0.3008537608818601,0.3008537608818601,0.0,0.0,0.0,1.7636657218825798,0.9797398446409038,1.8001367725623143,0.82858465028231,43.88866618361216,0.0,48.2838820085157
baseline,1400.0,8.0,0.9,20.0,False,mech_009,current_all_TJ_multihit,,,,,,,,,,,,,,
baseline,1400.0,8.0,0.9,100.0,False,mech_009,current_all_TJ_multihit,,,,,,,,,,,,,,
baseline,1400.0,20.0,0.85,20.0,True,mech_009,current_all_TJ_multihit,0.9962541435620477,False,0.3028196695190857,0.3028196695190857,0.0,0.0,0.0,1.7626484162519425,0.9870448552773303,1.7857834999369817,0.8284101797519849,42.5576110854522,0.0,47.566953523157906
baseline,1400.0,20.0,0.85,100.0,True,mech_009,current_all_TJ_multihit,1.7289700000507977,True,0.3008537608818601,0.3008537608818601,0.0,0.0,0.0,1.7636657218825798,0.9797398446409038,1.8001367725623143,0.82858465028231,43.88866618361216,0.0,48.2838820085157
baseline,1400.0,20.0,0.9,20.0,True,mech_009,current_all_TJ_multihit,0.8219387857189993,False,0.25613421744551346,0.25613421744551346,0.0,0.0,0.0,1.1847114871768092,1.3375844966299637,0.8857096431378225,0.33184006458545756,57.53150966456979,0.0,14.449750600513221
baseline,1400.0,20.0,0.9,100.0,True,mech_009,current_all_TJ_multihit,0.7945093896983833,False,0.25595770236985127,0.25595770236985127,0.0,0.0,0.0,1.1835959880715237,1.337954428592939,0.8846310179011504,0.3314358556899355,57.715730125352664,0.0,14.426848950045027
baseline,1450.0,8.0,0.85,20.0,True,mech_009,current_all_TJ_multihit,-1.9577160315984616,False,0.3916489631560468,0.3916489631560468,0.0,0.0,0.0,3.6419712868996053,1.1794223792582617,3.0879279136538345,0.8783773626755571,41.348254104382164,0.0,82.18594175583551
baseline,1450.0,8.0,0.85,100.0,True,mech_009,current_all_TJ_multihit,-1.8319306631807193,False,0.3910052748110371,0.3910052748110371,0.0,0.0,0.0,3.6355426286190133,1.177967324317161,3.086284783600809,0.8777624950043523,42.10307031484226,0.0,82.56313440438336
baseline,1450.0,8.0,0.9,20.0,True,mech_009,current_all_TJ_multihit,1.1650810469444708,True,0.4368422975016917,0.4368422975016917,0.0,0.0,0.0,2.5326071158577412,1.9373982361952793,1.3072207192834815,0.7193286754552516,21.97824504916405,0.0,22.255319997019942
baseline,1450.0,8.0,0.9,100.0,True,mech_009,current_all_TJ_multihit,0.4247484592661963,False,0.4373053311135452,0.4373053311135452,0.0,0.0,0.0,2.515699548695169,1.9519105064005804,1.28883959610128,0.7159091009951861,21.901485484241437,0.0,21.817228824399617
baseline,1450.0,20.0,0.85,20.0,True,mech_009,current_all_TJ_multihit,-1.9577160315984616,False,0.3916489631560468,0.3916489631560468,0.0,0.0,0.0,3.6419712868996053,1.1794223792582617,3.0879279136538345,0.8783773626755571,41.348254104382164,0.0,82.18594175583551
baseline,1450.0,20.0,0.85,100.0,True,mech_009,current_all_TJ_multihit,-1.8319306631807193,False,0.3910052748110371,0.3910052748110371,0.0,0.0,0.0,3.6355426286190133,1.177967324317161,3.086284783600809,0.8777624950043523,42.10307031484226,0.0,82.56313440438336
baseline,1450.0,20.0,0.9,20.0,True,mech_009,current_all_TJ_multihit,1.1650810469444708,True,0.4368422975016917,0.4368422975016917,0.0,0.0,0.0,2.5326071158577412,1.9373982361952793,1.3072207192834815,0.7193286754552516,21.97824504916405,0.0,22.255319997019942
