case_id,G0_nm,T1_C,rho_switch,growth_tolerance,T_lower_density_C,T_upper_no_growth_C,T_success_lower_C,T_success_upper_C,window_width_C,n_success
default_evolving,50.0,1250.0,0.75,0.05,1275.0,1100.0,nan,nan,nan,0
default_evolving,50.0,1250.0,0.75,0.1,1275.0,1125.0,nan,nan,nan,0
default_evolving,50.0,1250.0,0.8,0.05,1275.0,1100.0,nan,nan,nan,0
default_evolving,50.0,1250.0,0.8,0.1,1275.0,1125.0,nan,nan,nan,0
default_evolving,50.0,1250.0,0.85,0.05,1250.0,1100.0,nan,nan,nan,0
default_evolving,50.0,1250.0,0.85,0.1,1250.0,1125.0,nan,nan,nan,0
default_evolving,50.0,1300.0,0.75,0.05,1275.0,1100.0,nan,nan,nan,0
default_evolving,50.0,1300.0,0.75,0.1,1275.0,1125.0,nan,nan,nan,0
default_evolving,50.0,1300.0,0.8,0.05,1275.0,1100.0,nan,nan,nan,0
default_evolving,50.0,1300.0,0.8,0.1,1275.0,1125.0,nan,nan,nan,0
default_evolving,50.0,1300.0,0.85,0.05,1250.0,1125.0,nan,nan,nan,0
default_evolving,50.0,1300.0,0.85,0.1,1250.0,1150.0,nan,nan,nan,0
default_evolving,50.0,1350.0,0.75,0.05,1275.0,1100.0,nan,nan,nan,0
default_evolving,50.0,1350.0,0.75,0.1,1275.0,1125.0,nan,nan,nan,0
default_evolving,50.0,1350.0,0.8,0.05,1275.0,1100.0,nan,nan,nan,0
default_evolving,50.0,1350.0,0.8,0.1,1275.0,1125.0,nan,nan,nan,0
default_evolving,50.0,1350.0,0.85,0.05,1250.0,1125.0,nan,nan,nan,0
default_evolving,50.0,1350.0,0.85,0.1,1250.0,1150.0,nan,nan,nan,0
default_evolving,75.0,1250.0,0.75,0.05,1275.0,1100.0,nan,nan,nan,0
default_evolving,75.0,1250.0,0.75,0.1,1275.0,1125.0,nan,nan,nan,0
default_evolving,75.0,1250.0,0.8,0.05,1275.0,1100.0,nan,nan,nan,0
default_evolving,75.0,1250.0,0.8,0.1,1275.0,1125.0,nan,nan,nan,0
default_evolving,75.0,1250.0,0.85,0.05,1250.0,1100.0,nan,nan,nan,0
default_evolving,75.0,1250.0,0.85,0.1,1250.0,1150.0,nan,nan,nan,0
default_evolving,75.0,1300.0,0.75,0.05,1275.0,1100.0,nan,nan,nan,0
default_evolving,75.0,1300.0,0.75,0.1,1275.0,1125.0,nan,nan,nan,0
default_evolving,75.0,1300.0,0.8,0.05,1275.0,1100.0,nan,nan,nan,0
default_evolving,75.0,1300.0,0.8,0.1,1275.0,1125.0,nan,nan,nan,0
default_evolving,75.0,1300.0,0.85,0.05,1250.0,1125.0,nan,nan,nan,0
default_evolving,75.0,1300.0,0.85,0.1,1250.0,1150.0,nan,nan,nan,0
