stage,case_id,base_mechanism,initial_microstructure_mode,G0_mean_nm,rho0,topology,pore_ln_sigma,large_pore_tail_fraction,large_pore_radius_factor,bimodal_fine_fraction,G0_ln_sigma,coarse_grain_tail_fraction,coarse_grain_radius_factor,pore_location_bias,grain_pore_correlation,residual_stress_mode,sigma_res_scale,stress_sign,rate,peak_T_C,hold_h,both_paths_attained,max_ratio,median_ratio,meaningful_span,meaningful,strong,tail_only,classification,disabled_recovery
combined,C000,mech_009,broad_pore_distribution,75,0.65,baseline,0.35,0.02,2,0.5,0.25,0.05,2,baseline,none,initial_only,0.25,compressive,20,1350,0,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C001,mech_019,large_pore_tail,150,0.65,baseline,0.65,0.05,2,0.7,0.5,0.1,4,GBseg_fine_rich,large_pores_on_large_grains,evolving_PR_generated,0.25,tensile,100,1400,0,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C002,mech_009_q0,bimodal_pore_distribution,225,0.65,GBseg_rich,0.95,0.1,4,0.9,0.75,0.2,8,TJ_large_rich,large_pores_on_small_grains,evolving_shear_generated,0.25,mixed,20,1450,0,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C003,mech_019_q0,broad_grain_distribution,75,0.7,GBseg_rich,1.2,0.2,4,0.5,0.25,0.05,2,isolated_large_rich,TJ_pores_on_small_grains,mixed_evolving,0.25,compressive,100,1500,0,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C004,mech_009,correlated_pore_grain_distribution,150,0.7,TJ_rich,0.35,0.02,8,0.7,0.5,0.1,4,mixed,isolated_pores_on_large_grains,initial_only,0.5,tensile,20,1350,2,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C005,mech_019,defect_rich_large_pore,225,0.7,TJ_rich,0.65,0.05,8,0.9,0.75,0.2,8,baseline,none,evolving_PR_generated,0.5,mixed,100,1400,2,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C006,mech_009_q0,broad_pore_distribution,75,0.75,mixed_GBseg_TJ,0.95,0.1,12,0.5,0.25,0.05,2,GBseg_fine_rich,large_pores_on_large_grains,evolving_shear_generated,0.5,compressive,20,1450,2,False,1.028516390417859,1.0224348137994554,0.0,False,False,False,negligible,False
combined,C007,mech_019_q0,large_pore_tail,150,0.75,mixed_GBseg_TJ,1.2,0.2,12,0.7,0.5,0.1,4,TJ_large_rich,large_pores_on_small_grains,mixed_evolving,0.5,tensile,100,1500,2,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C008,mech_009,bimodal_pore_distribution,225,0.75,baseline,0.35,0.02,2,0.9,0.75,0.2,8,isolated_large_rich,TJ_pores_on_small_grains,initial_only,1.0,mixed,20,1350,8,False,1.0049072998133983,1.0020610681850783,0.0,False,False,False,negligible,False
combined,C009,mech_019,broad_grain_distribution,75,0.65,baseline,0.65,0.05,2,0.5,0.25,0.05,2,mixed,isolated_pores_on_large_grains,evolving_PR_generated,1.0,compressive,100,1400,8,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C010,mech_009_q0,correlated_pore_grain_distribution,150,0.65,GBseg_rich,0.95,0.1,4,0.7,0.5,0.1,4,baseline,none,evolving_shear_generated,1.0,tensile,20,1450,8,False,1.3169704723861726,1.2021135957960811,0.0,False,False,False,weak,False
combined,C011,mech_019_q0,defect_rich_large_pore,225,0.65,GBseg_rich,1.2,0.2,4,0.9,0.75,0.2,8,GBseg_fine_rich,large_pores_on_large_grains,mixed_evolving,1.0,mixed,100,1500,8,False,1.154370827968799,1.1121401436477982,0.0,False,False,False,negligible,False
combined,C012,mech_009,broad_pore_distribution,75,0.7,TJ_rich,0.35,0.02,8,0.5,0.25,0.05,2,TJ_large_rich,large_pores_on_small_grains,initial_only,2.0,compressive,20,1350,20,False,1.0248433937627295,1.0165562297665196,0.0,False,False,False,negligible,False
combined,C013,mech_019,large_pore_tail,150,0.7,TJ_rich,0.65,0.05,8,0.7,0.5,0.1,4,isolated_large_rich,TJ_pores_on_small_grains,evolving_PR_generated,2.0,tensile,100,1400,20,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C014,mech_009_q0,bimodal_pore_distribution,225,0.7,mixed_GBseg_TJ,0.95,0.1,12,0.9,0.75,0.2,8,mixed,isolated_pores_on_large_grains,evolving_shear_generated,2.0,mixed,20,1450,20,True,1.1832439123978602,1.0479631134320977,0.0,False,False,False,negligible,False
combined,C015,mech_019_q0,broad_grain_distribution,75,0.75,mixed_GBseg_TJ,1.2,0.2,12,0.5,0.25,0.05,2,baseline,none,mixed_evolving,2.0,compressive,100,1500,20,True,1.021169081701751,0.9486394609878739,0.0,False,False,False,negligible,False
combined,C016,mech_009,correlated_pore_grain_distribution,150,0.75,baseline,0.35,0.02,2,0.7,0.5,0.1,4,GBseg_fine_rich,large_pores_on_large_grains,initial_only,0.25,tensile,20,1350,0,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C017,mech_019,defect_rich_large_pore,225,0.75,baseline,0.65,0.05,2,0.9,0.75,0.2,8,TJ_large_rich,large_pores_on_small_grains,evolving_PR_generated,0.25,mixed,100,1400,0,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C018,mech_009_q0,broad_pore_distribution,75,0.65,GBseg_rich,0.95,0.1,4,0.5,0.25,0.05,2,isolated_large_rich,TJ_pores_on_small_grains,evolving_shear_generated,0.25,compressive,20,1450,0,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C019,mech_019_q0,large_pore_tail,150,0.65,GBseg_rich,1.2,0.2,4,0.7,0.5,0.1,4,mixed,isolated_pores_on_large_grains,mixed_evolving,0.25,tensile,100,1500,0,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C020,mech_009,bimodal_pore_distribution,225,0.65,TJ_rich,0.35,0.02,8,0.9,0.75,0.2,8,baseline,none,initial_only,0.5,mixed,20,1350,2,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C021,mech_019,broad_grain_distribution,75,0.7,TJ_rich,0.65,0.05,8,0.5,0.25,0.05,2,GBseg_fine_rich,large_pores_on_large_grains,evolving_PR_generated,0.5,compressive,100,1400,2,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C022,mech_009_q0,correlated_pore_grain_distribution,150,0.7,mixed_GBseg_TJ,0.95,0.1,12,0.7,0.5,0.1,4,TJ_large_rich,large_pores_on_small_grains,evolving_shear_generated,0.5,tensile,20,1450,2,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C023,mech_019_q0,defect_rich_large_pore,225,0.7,mixed_GBseg_TJ,1.2,0.2,12,0.9,0.75,0.2,8,isolated_large_rich,TJ_pores_on_small_grains,mixed_evolving,0.5,mixed,100,1500,2,False,nan,nan,0.0,False,False,False,unattainable,False
combined,C024,mech_009,broad_pore_distribution,75,0.75,baseline,0.35,0.02,2,0.5,0.25,0.05,2,mixed,isolated_pores_on_large_grains,initial_only,1.0,compressive,20,1350,8,False,1.0273230779551719,1.024710484963646,0.0,False,False,False,negligible,False
