design,model_style,G0_nm,rho0,T1_C,rho_switch,n_T2
T1_switch_extension,connectivity,75.0,0.7,1350.0,0.75,19
T1_switch_extension,connectivity,75.0,0.7,1350.0,0.8,19
T1_switch_extension,connectivity,75.0,0.7,1350.0,0.825,19
T1_switch_extension,connectivity,75.0,0.7,1350.0,0.85,19
T1_switch_extension,connectivity,75.0,0.7,1350.0,0.875,19
T1_switch_extension,connectivity,75.0,0.7,1350.0,0.9,19
T1_switch_extension,connectivity,75.0,0.7,1350.0,0.925,19
T1_switch_extension,connectivity,75.0,0.7,1400.0,0.7,19
T1_switch_extension,connectivity,75.0,0.7,1400.0,0.75,19
T1_switch_extension,connectivity,75.0,0.7,1400.0,0.8,19
T1_switch_extension,connectivity,75.0,0.7,1400.0,0.825,19
T1_switch_extension,connectivity,75.0,0.7,1400.0,0.85,19
T1_switch_extension,connectivity,75.0,0.7,1400.0,0.875,19
T1_switch_extension,connectivity,75.0,0.7,1400.0,0.9,19
T1_switch_extension,connectivity,75.0,0.7,1400.0,0.925,19
T1_switch_extension,connectivity,75.0,0.7,1450.0,0.7,19
T1_switch_extension,connectivity,75.0,0.7,1450.0,0.75,19
T1_switch_extension,connectivity,75.0,0.7,1450.0,0.8,19
T1_switch_extension,connectivity,75.0,0.7,1450.0,0.825,19
T1_switch_extension,connectivity,75.0,0.7,1450.0,0.85,19
T1_switch_extension,connectivity,75.0,0.7,1450.0,0.875,19
T1_switch_extension,connectivity,75.0,0.7,1450.0,0.9,19
T1_switch_extension,connectivity,75.0,0.7,1450.0,0.925,19
T1_switch_extension,connectivity,450.0,0.7,1150.0,0.7,19
T1_switch_extension,connectivity,450.0,0.7,1150.0,0.75,19
T1_switch_extension,connectivity,450.0,0.7,1150.0,0.8,19
T1_switch_extension,connectivity,450.0,0.7,1150.0,0.825,19
T1_switch_extension,connectivity,450.0,0.7,1150.0,0.85,19
T1_switch_extension,connectivity,450.0,0.7,1150.0,0.875,19
T1_switch_extension,connectivity,450.0,0.7,1150.0,0.9,19
T1_switch_extension,connectivity,450.0,0.7,1150.0,0.925,19
T1_switch_extension,connectivity,450.0,0.7,1200.0,0.7,19
T1_switch_extension,connectivity,450.0,0.7,1200.0,0.75,19
T1_switch_extension,connectivity,450.0,0.7,1200.0,0.8,19
T1_switch_extension,connectivity,450.0,0.7,1200.0,0.825,19
T1_switch_extension,connectivity,450.0,0.7,1200.0,0.85,19
T1_switch_extension,connectivity,450.0,0.7,1200.0,0.875,19
T1_switch_extension,connectivity,450.0,0.7,1200.0,0.9,19
T1_switch_extension,connectivity,450.0,0.7,1200.0,0.925,19
T1_switch_extension,connectivity,450.0,0.7,1250.0,0.7,19
T1_switch_extension,connectivity,450.0,0.7,1250.0,0.75,19
T1_switch_extension,connectivity,450.0,0.7,1250.0,0.8,19
T1_switch_extension,connectivity,450.0,0.7,1250.0,0.825,19
T1_switch_extension,connectivity,450.0,0.7,1250.0,0.85,19
T1_switch_extension,connectivity,450.0,0.7,1250.0,0.875,19
T1_switch_extension,connectivity,450.0,0.7,1250.0,0.9,19
T1_switch_extension,connectivity,450.0,0.7,1250.0,0.925,19
T1_switch_extension,connectivity,450.0,0.7,1300.0,0.7,19
T1_switch_extension,connectivity,450.0,0.7,1300.0,0.75,19
T1_switch_extension,connectivity,450.0,0.7,1300.0,0.8,19
T1_switch_extension,connectivity,450.0,0.7,1300.0,0.825,19
T1_switch_extension,connectivity,450.0,0.7,1300.0,0.85,19
T1_switch_extension,connectivity,450.0,0.7,1300.0,0.875,19
T1_switch_extension,connectivity,450.0,0.7,1300.0,0.9,19
T1_switch_extension,connectivity,450.0,0.7,1300.0,0.925,19
T1_switch_extension,connectivity,450.0,0.7,1350.0,0.7,19
T1_switch_extension,connectivity,450.0,0.7,1350.0,0.75,19
T1_switch_extension,connectivity,450.0,0.7,1350.0,0.8,19
T1_switch_extension,connectivity,450.0,0.7,1350.0,0.825,19
T1_switch_extension,connectivity,450.0,0.7,1350.0,0.85,19
T1_switch_extension,connectivity,450.0,0.7,1350.0,0.875,19
T1_switch_extension,connectivity,450.0,0.7,1350.0,0.9,19
T1_switch_extension,connectivity,450.0,0.7,1350.0,0.925,19
T1_switch_extension,connectivity,450.0,0.7,1400.0,0.7,19
T1_switch_extension,connectivity,450.0,0.7,1400.0,0.75,19
T1_switch_extension,connectivity,450.0,0.7,1400.0,0.8,19
T1_switch_extension,connectivity,450.0,0.7,1400.0,0.825,19
T1_switch_extension,connectivity,450.0,0.7,1400.0,0.85,19
T1_switch_extension,connectivity,450.0,0.7,1400.0,0.875,19
T1_switch_extension,connectivity,450.0,0.7,1400.0,0.9,19
T1_switch_extension,connectivity,450.0,0.7,1400.0,0.925,19
T1_switch_extension,connectivity,450.0,0.7,1450.0,0.7,19
T1_switch_extension,connectivity,450.0,0.7,1450.0,0.75,19
T1_switch_extension,connectivity,450.0,0.7,1450.0,0.8,19
T1_switch_extension,connectivity,450.0,0.7,1450.0,0.825,19
T1_switch_extension,connectivity,450.0,0.7,1450.0,0.85,19
T1_switch_extension,connectivity,450.0,0.7,1450.0,0.875,19
T1_switch_extension,connectivity,450.0,0.7,1450.0,0.9,19
T1_switch_extension,connectivity,450.0,0.7,1450.0,0.925,19
T1_switch_extension,connectivity,1000.0,0.7,1150.0,0.7,19
T1_switch_extension,connectivity,1000.0,0.7,1150.0,0.75,19
T1_switch_extension,connectivity,1000.0,0.7,1150.0,0.8,19
T1_switch_extension,connectivity,1000.0,0.7,1150.0,0.825,19
T1_switch_extension,connectivity,1000.0,0.7,1150.0,0.85,19
T1_switch_extension,connectivity,1000.0,0.7,1150.0,0.875,19
T1_switch_extension,connectivity,1000.0,0.7,1150.0,0.9,19
T1_switch_extension,connectivity,1000.0,0.7,1150.0,0.925,19
T1_switch_extension,connectivity,1000.0,0.7,1200.0,0.7,19
T1_switch_extension,connectivity,1000.0,0.7,1200.0,0.75,19
T1_switch_extension,connectivity,1000.0,0.7,1200.0,0.8,19
T1_switch_extension,connectivity,1000.0,0.7,1200.0,0.825,19
T1_switch_extension,connectivity,1000.0,0.7,1200.0,0.85,19
T1_switch_extension,connectivity,1000.0,0.7,1200.0,0.875,19
T1_switch_extension,connectivity,1000.0,0.7,1200.0,0.9,19
T1_switch_extension,connectivity,1000.0,0.7,1200.0,0.925,19
T1_switch_extension,connectivity,1000.0,0.7,1250.0,0.7,19
T1_switch_extension,connectivity,1000.0,0.7,1250.0,0.75,19
T1_switch_extension,connectivity,1000.0,0.7,1250.0,0.8,19
T1_switch_extension,connectivity,1000.0,0.7,1250.0,0.825,19
T1_switch_extension,connectivity,1000.0,0.7,1250.0,0.85,19
T1_switch_extension,connectivity,1000.0,0.7,1250.0,0.875,19
T1_switch_extension,connectivity,1000.0,0.7,1250.0,0.9,19
T1_switch_extension,connectivity,1000.0,0.7,1250.0,0.925,19
T1_switch_extension,connectivity,1000.0,0.7,1300.0,0.7,19
T1_switch_extension,connectivity,1000.0,0.7,1300.0,0.75,19
T1_switch_extension,connectivity,1000.0,0.7,1300.0,0.8,19
T1_switch_extension,connectivity,1000.0,0.7,1300.0,0.825,19
T1_switch_extension,connectivity,1000.0,0.7,1300.0,0.85,19
T1_switch_extension,connectivity,1000.0,0.7,1300.0,0.875,19
T1_switch_extension,connectivity,1000.0,0.7,1300.0,0.9,19
T1_switch_extension,connectivity,1000.0,0.7,1300.0,0.925,19
T1_switch_extension,connectivity,1000.0,0.7,1350.0,0.7,19
T1_switch_extension,connectivity,1000.0,0.7,1350.0,0.75,19
T1_switch_extension,connectivity,1000.0,0.7,1350.0,0.8,19
T1_switch_extension,connectivity,1000.0,0.7,1350.0,0.825,19
T1_switch_extension,connectivity,1000.0,0.7,1350.0,0.85,19
T1_switch_extension,connectivity,1000.0,0.7,1350.0,0.875,19
T1_switch_extension,connectivity,1000.0,0.7,1350.0,0.9,19
T1_switch_extension,connectivity,1000.0,0.7,1350.0,0.925,19
T1_switch_extension,connectivity,1000.0,0.7,1400.0,0.7,19
T1_switch_extension,connectivity,1000.0,0.7,1400.0,0.75,19
T1_switch_extension,connectivity,1000.0,0.7,1400.0,0.8,19
T1_switch_extension,connectivity,1000.0,0.7,1400.0,0.825,19
T1_switch_extension,connectivity,1000.0,0.7,1400.0,0.85,19
T1_switch_extension,connectivity,1000.0,0.7,1400.0,0.875,19
T1_switch_extension,connectivity,1000.0,0.7,1400.0,0.9,19
T1_switch_extension,connectivity,1000.0,0.7,1400.0,0.925,19
T1_switch_extension,connectivity,1000.0,0.7,1450.0,0.7,19
T1_switch_extension,connectivity,1000.0,0.7,1450.0,0.75,19
T1_switch_extension,connectivity,1000.0,0.7,1450.0,0.8,19
T1_switch_extension,connectivity,1000.0,0.7,1450.0,0.825,19
T1_switch_extension,connectivity,1000.0,0.7,1450.0,0.85,19
T1_switch_extension,connectivity,1000.0,0.7,1450.0,0.875,19
T1_switch_extension,connectivity,1000.0,0.7,1450.0,0.9,19
T1_switch_extension,connectivity,1000.0,0.7,1450.0,0.925,19
T1_switch_extension,connectivity,2000.0,0.7,1150.0,0.7,19
T1_switch_extension,connectivity,2000.0,0.7,1150.0,0.75,19
T1_switch_extension,connectivity,2000.0,0.7,1150.0,0.8,19
T1_switch_extension,connectivity,2000.0,0.7,1150.0,0.825,19
T1_switch_extension,connectivity,2000.0,0.7,1150.0,0.85,19
T1_switch_extension,connectivity,2000.0,0.7,1150.0,0.875,19
T1_switch_extension,connectivity,2000.0,0.7,1150.0,0.9,19
T1_switch_extension,connectivity,2000.0,0.7,1150.0,0.925,19
T1_switch_extension,connectivity,2000.0,0.7,1200.0,0.7,19
T1_switch_extension,connectivity,2000.0,0.7,1200.0,0.75,19
T1_switch_extension,connectivity,2000.0,0.7,1200.0,0.8,19
T1_switch_extension,connectivity,2000.0,0.7,1200.0,0.825,19
T1_switch_extension,connectivity,2000.0,0.7,1200.0,0.85,19
T1_switch_extension,connectivity,2000.0,0.7,1200.0,0.875,19
T1_switch_extension,connectivity,2000.0,0.7,1200.0,0.9,19
T1_switch_extension,connectivity,2000.0,0.7,1200.0,0.925,19
T1_switch_extension,connectivity,2000.0,0.7,1250.0,0.7,19
T1_switch_extension,connectivity,2000.0,0.7,1250.0,0.75,19
T1_switch_extension,connectivity,2000.0,0.7,1250.0,0.8,19
T1_switch_extension,connectivity,2000.0,0.7,1250.0,0.825,19
T1_switch_extension,connectivity,2000.0,0.7,1250.0,0.85,19
T1_switch_extension,connectivity,2000.0,0.7,1250.0,0.875,19
T1_switch_extension,connectivity,2000.0,0.7,1250.0,0.9,19
T1_switch_extension,connectivity,2000.0,0.7,1250.0,0.925,19
T1_switch_extension,connectivity,2000.0,0.7,1300.0,0.7,19
T1_switch_extension,connectivity,2000.0,0.7,1300.0,0.75,19
T1_switch_extension,connectivity,2000.0,0.7,1300.0,0.8,19
T1_switch_extension,connectivity,2000.0,0.7,1300.0,0.825,19
T1_switch_extension,connectivity,2000.0,0.7,1300.0,0.85,19
T1_switch_extension,connectivity,2000.0,0.7,1300.0,0.875,19
T1_switch_extension,connectivity,2000.0,0.7,1300.0,0.9,19
T1_switch_extension,connectivity,2000.0,0.7,1300.0,0.925,19
T1_switch_extension,connectivity,2000.0,0.7,1350.0,0.7,19
T1_switch_extension,connectivity,2000.0,0.7,1350.0,0.75,19
T1_switch_extension,connectivity,2000.0,0.7,1350.0,0.8,19
T1_switch_extension,connectivity,2000.0,0.7,1350.0,0.825,19
T1_switch_extension,connectivity,2000.0,0.7,1350.0,0.85,19
T1_switch_extension,connectivity,2000.0,0.7,1350.0,0.875,19
T1_switch_extension,connectivity,2000.0,0.7,1350.0,0.9,19
T1_switch_extension,connectivity,2000.0,0.7,1350.0,0.925,19
T1_switch_extension,connectivity,2000.0,0.7,1400.0,0.7,19
T1_switch_extension,connectivity,2000.0,0.7,1400.0,0.75,19
T1_switch_extension,connectivity,2000.0,0.7,1400.0,0.8,19
T1_switch_extension,connectivity,2000.0,0.7,1400.0,0.825,19
T1_switch_extension,connectivity,2000.0,0.7,1400.0,0.85,19
T1_switch_extension,connectivity,2000.0,0.7,1400.0,0.875,19
T1_switch_extension,connectivity,2000.0,0.7,1400.0,0.9,19
T1_switch_extension,connectivity,2000.0,0.7,1400.0,0.925,19
T1_switch_extension,connectivity,2000.0,0.7,1450.0,0.7,19
T1_switch_extension,connectivity,2000.0,0.7,1450.0,0.75,19
T1_switch_extension,connectivity,2000.0,0.7,1450.0,0.8,19
T1_switch_extension,connectivity,2000.0,0.7,1450.0,0.825,19
T1_switch_extension,connectivity,2000.0,0.7,1450.0,0.85,19
T1_switch_extension,connectivity,2000.0,0.7,1450.0,0.875,19
T1_switch_extension,connectivity,2000.0,0.7,1450.0,0.9,19
T1_switch_extension,connectivity,2000.0,0.7,1450.0,0.925,19
T1_switch_extension,density,75.0,0.7,1150.0,0.7,19
T1_switch_extension,density,75.0,0.7,1150.0,0.75,19
T1_switch_extension,density,75.0,0.7,1150.0,0.8,19
T1_switch_extension,density,75.0,0.7,1150.0,0.825,19
T1_switch_extension,density,75.0,0.7,1150.0,0.85,19
T1_switch_extension,density,75.0,0.7,1150.0,0.875,19
T1_switch_extension,density,75.0,0.7,1150.0,0.9,19
T1_switch_extension,density,75.0,0.7,1150.0,0.925,19
T1_switch_extension,density,75.0,0.7,1200.0,0.7,19
T1_switch_extension,density,75.0,0.7,1200.0,0.75,19
T1_switch_extension,density,75.0,0.7,1200.0,0.8,19
T1_switch_extension,density,75.0,0.7,1200.0,0.825,19
T1_switch_extension,density,75.0,0.7,1200.0,0.85,19
T1_switch_extension,density,75.0,0.7,1200.0,0.875,19
T1_switch_extension,density,75.0,0.7,1200.0,0.9,19
T1_switch_extension,density,75.0,0.7,1200.0,0.925,19
T1_switch_extension,density,75.0,0.7,1250.0,0.7,19
T1_switch_extension,density,75.0,0.7,1250.0,0.75,19
T1_switch_extension,density,75.0,0.7,1250.0,0.8,19
T1_switch_extension,density,75.0,0.7,1250.0,0.825,19
T1_switch_extension,density,75.0,0.7,1250.0,0.85,19
T1_switch_extension,density,75.0,0.7,1250.0,0.875,19
T1_switch_extension,density,75.0,0.7,1250.0,0.9,19
T1_switch_extension,density,75.0,0.7,1250.0,0.925,19
T1_switch_extension,density,75.0,0.7,1300.0,0.7,19
T1_switch_extension,density,75.0,0.7,1300.0,0.75,19
T1_switch_extension,density,75.0,0.7,1300.0,0.8,19
T1_switch_extension,density,75.0,0.7,1300.0,0.825,19
T1_switch_extension,density,75.0,0.7,1300.0,0.85,19
T1_switch_extension,density,75.0,0.7,1300.0,0.875,19
T1_switch_extension,density,75.0,0.7,1300.0,0.9,19
T1_switch_extension,density,75.0,0.7,1300.0,0.925,19
T1_switch_extension,density,75.0,0.7,1350.0,0.7,19
T1_switch_extension,density,75.0,0.7,1350.0,0.75,19
T1_switch_extension,density,75.0,0.7,1350.0,0.8,19
T1_switch_extension,density,75.0,0.7,1350.0,0.825,19
T1_switch_extension,density,75.0,0.7,1350.0,0.85,19
T1_switch_extension,density,75.0,0.7,1350.0,0.875,19
T1_switch_extension,density,75.0,0.7,1350.0,0.9,19
T1_switch_extension,density,75.0,0.7,1350.0,0.925,19
T1_switch_extension,density,75.0,0.7,1400.0,0.7,19
T1_switch_extension,density,75.0,0.7,1400.0,0.75,19
T1_switch_extension,density,75.0,0.7,1400.0,0.8,19
T1_switch_extension,density,75.0,0.7,1400.0,0.825,19
T1_switch_extension,density,75.0,0.7,1400.0,0.85,19
T1_switch_extension,density,75.0,0.7,1400.0,0.875,19
T1_switch_extension,density,75.0,0.7,1400.0,0.9,19
T1_switch_extension,density,75.0,0.7,1400.0,0.925,19
T1_switch_extension,density,75.0,0.7,1450.0,0.7,19
T1_switch_extension,density,75.0,0.7,1450.0,0.75,19
T1_switch_extension,density,75.0,0.7,1450.0,0.8,19
T1_switch_extension,density,75.0,0.7,1450.0,0.825,19
T1_switch_extension,density,75.0,0.7,1450.0,0.85,19
T1_switch_extension,density,75.0,0.7,1450.0,0.875,19
T1_switch_extension,density,75.0,0.7,1450.0,0.9,19
T1_switch_extension,density,75.0,0.7,1450.0,0.925,19
T1_switch_extension,density,450.0,0.7,1150.0,0.7,19
T1_switch_extension,density,450.0,0.7,1150.0,0.75,19
T1_switch_extension,density,450.0,0.7,1150.0,0.8,19
T1_switch_extension,density,450.0,0.7,1150.0,0.825,19
T1_switch_extension,density,450.0,0.7,1150.0,0.85,19
T1_switch_extension,density,450.0,0.7,1150.0,0.875,19
T1_switch_extension,density,450.0,0.7,1150.0,0.9,19
T1_switch_extension,density,450.0,0.7,1150.0,0.925,19
T1_switch_extension,density,450.0,0.7,1200.0,0.7,19
T1_switch_extension,density,450.0,0.7,1200.0,0.75,19
T1_switch_extension,density,450.0,0.7,1200.0,0.8,19
T1_switch_extension,density,450.0,0.7,1200.0,0.825,19
T1_switch_extension,density,450.0,0.7,1200.0,0.85,19
T1_switch_extension,density,450.0,0.7,1200.0,0.875,19
T1_switch_extension,density,450.0,0.7,1200.0,0.9,19
T1_switch_extension,density,450.0,0.7,1200.0,0.925,19
T1_switch_extension,density,450.0,0.7,1250.0,0.7,19
T1_switch_extension,density,450.0,0.7,1250.0,0.75,19
T1_switch_extension,density,450.0,0.7,1250.0,0.8,19
T1_switch_extension,density,450.0,0.7,1250.0,0.825,19
T1_switch_extension,density,450.0,0.7,1250.0,0.85,19
T1_switch_extension,density,450.0,0.7,1250.0,0.875,19
T1_switch_extension,density,450.0,0.7,1250.0,0.9,19
T1_switch_extension,density,450.0,0.7,1250.0,0.925,19
T1_switch_extension,density,450.0,0.7,1300.0,0.7,19
T1_switch_extension,density,450.0,0.7,1300.0,0.75,19
T1_switch_extension,density,450.0,0.7,1300.0,0.8,19
T1_switch_extension,density,450.0,0.7,1300.0,0.825,19
T1_switch_extension,density,450.0,0.7,1300.0,0.85,19
T1_switch_extension,density,450.0,0.7,1300.0,0.875,19
T1_switch_extension,density,450.0,0.7,1300.0,0.9,19
T1_switch_extension,density,450.0,0.7,1300.0,0.925,19
T1_switch_extension,density,450.0,0.7,1350.0,0.7,19
T1_switch_extension,density,450.0,0.7,1350.0,0.75,19
T1_switch_extension,density,450.0,0.7,1350.0,0.8,19
T1_switch_extension,density,450.0,0.7,1350.0,0.825,19
T1_switch_extension,density,450.0,0.7,1350.0,0.85,19
T1_switch_extension,density,450.0,0.7,1350.0,0.875,19
T1_switch_extension,density,450.0,0.7,1350.0,0.9,19
T1_switch_extension,density,450.0,0.7,1350.0,0.925,19
T1_switch_extension,density,450.0,0.7,1400.0,0.7,19
T1_switch_extension,density,450.0,0.7,1400.0,0.75,19
T1_switch_extension,density,450.0,0.7,1400.0,0.8,19
T1_switch_extension,density,450.0,0.7,1400.0,0.825,19
T1_switch_extension,density,450.0,0.7,1400.0,0.85,19
T1_switch_extension,density,450.0,0.7,1400.0,0.875,19
T1_switch_extension,density,450.0,0.7,1400.0,0.9,19
T1_switch_extension,density,450.0,0.7,1400.0,0.925,19
T1_switch_extension,density,450.0,0.7,1450.0,0.7,19
T1_switch_extension,density,450.0,0.7,1450.0,0.75,19
T1_switch_extension,density,450.0,0.7,1450.0,0.8,19
T1_switch_extension,density,450.0,0.7,1450.0,0.825,19
T1_switch_extension,density,450.0,0.7,1450.0,0.85,19
T1_switch_extension,density,450.0,0.7,1450.0,0.875,19
T1_switch_extension,density,450.0,0.7,1450.0,0.9,19
T1_switch_extension,density,450.0,0.7,1450.0,0.925,19
T1_switch_extension,density,1000.0,0.7,1150.0,0.7,19
T1_switch_extension,density,1000.0,0.7,1150.0,0.75,19
T1_switch_extension,density,1000.0,0.7,1150.0,0.8,19
T1_switch_extension,density,1000.0,0.7,1150.0,0.825,19
T1_switch_extension,density,1000.0,0.7,1150.0,0.85,19
T1_switch_extension,density,1000.0,0.7,1150.0,0.875,19
T1_switch_extension,density,1000.0,0.7,1150.0,0.9,19
T1_switch_extension,density,1000.0,0.7,1150.0,0.925,19
T1_switch_extension,density,1000.0,0.7,1200.0,0.7,19
T1_switch_extension,density,1000.0,0.7,1200.0,0.75,19
T1_switch_extension,density,1000.0,0.7,1200.0,0.8,19
T1_switch_extension,density,1000.0,0.7,1200.0,0.825,19
T1_switch_extension,density,1000.0,0.7,1200.0,0.85,19
T1_switch_extension,density,1000.0,0.7,1200.0,0.875,19
T1_switch_extension,density,1000.0,0.7,1200.0,0.9,19
T1_switch_extension,density,1000.0,0.7,1200.0,0.925,19
T1_switch_extension,density,1000.0,0.7,1250.0,0.7,19
T1_switch_extension,density,1000.0,0.7,1250.0,0.75,19
T1_switch_extension,density,1000.0,0.7,1250.0,0.8,19
T1_switch_extension,density,1000.0,0.7,1250.0,0.825,19
T1_switch_extension,density,1000.0,0.7,1250.0,0.85,19
T1_switch_extension,density,1000.0,0.7,1250.0,0.875,19
T1_switch_extension,density,1000.0,0.7,1250.0,0.9,19
T1_switch_extension,density,1000.0,0.7,1250.0,0.925,19
T1_switch_extension,density,1000.0,0.7,1300.0,0.7,19
T1_switch_extension,density,1000.0,0.7,1300.0,0.75,19
T1_switch_extension,density,1000.0,0.7,1300.0,0.8,19
T1_switch_extension,density,1000.0,0.7,1300.0,0.825,19
T1_switch_extension,density,1000.0,0.7,1300.0,0.85,19
T1_switch_extension,density,1000.0,0.7,1300.0,0.875,19
T1_switch_extension,density,1000.0,0.7,1300.0,0.9,19
T1_switch_extension,density,1000.0,0.7,1300.0,0.925,19
T1_switch_extension,density,1000.0,0.7,1350.0,0.7,19
T1_switch_extension,density,1000.0,0.7,1350.0,0.75,19
T1_switch_extension,density,1000.0,0.7,1350.0,0.8,19
T1_switch_extension,density,1000.0,0.7,1350.0,0.825,19
T1_switch_extension,density,1000.0,0.7,1350.0,0.85,19
T1_switch_extension,density,1000.0,0.7,1350.0,0.875,19
T1_switch_extension,density,1000.0,0.7,1350.0,0.9,19
T1_switch_extension,density,1000.0,0.7,1350.0,0.925,19
T1_switch_extension,density,1000.0,0.7,1400.0,0.7,19
T1_switch_extension,density,1000.0,0.7,1400.0,0.75,19
T1_switch_extension,density,1000.0,0.7,1400.0,0.8,19
T1_switch_extension,density,1000.0,0.7,1400.0,0.825,19
T1_switch_extension,density,1000.0,0.7,1400.0,0.85,19
T1_switch_extension,density,1000.0,0.7,1400.0,0.875,19
T1_switch_extension,density,1000.0,0.7,1400.0,0.9,19
T1_switch_extension,density,1000.0,0.7,1400.0,0.925,19
T1_switch_extension,density,1000.0,0.7,1450.0,0.7,19
T1_switch_extension,density,1000.0,0.7,1450.0,0.75,19
T1_switch_extension,density,1000.0,0.7,1450.0,0.8,19
T1_switch_extension,density,1000.0,0.7,1450.0,0.825,19
T1_switch_extension,density,1000.0,0.7,1450.0,0.85,19
T1_switch_extension,density,1000.0,0.7,1450.0,0.875,19
T1_switch_extension,density,1000.0,0.7,1450.0,0.9,19
T1_switch_extension,density,1000.0,0.7,1450.0,0.925,19
T1_switch_extension,density,2000.0,0.7,1150.0,0.7,19
T1_switch_extension,density,2000.0,0.7,1150.0,0.75,19
T1_switch_extension,density,2000.0,0.7,1150.0,0.8,19
T1_switch_extension,density,2000.0,0.7,1150.0,0.825,19
T1_switch_extension,density,2000.0,0.7,1150.0,0.85,19
T1_switch_extension,density,2000.0,0.7,1150.0,0.875,19
T1_switch_extension,density,2000.0,0.7,1150.0,0.9,19
T1_switch_extension,density,2000.0,0.7,1150.0,0.925,19
T1_switch_extension,density,2000.0,0.7,1200.0,0.7,19
T1_switch_extension,density,2000.0,0.7,1200.0,0.75,19
T1_switch_extension,density,2000.0,0.7,1200.0,0.8,19
T1_switch_extension,density,2000.0,0.7,1200.0,0.825,19
T1_switch_extension,density,2000.0,0.7,1200.0,0.85,19
T1_switch_extension,density,2000.0,0.7,1200.0,0.875,19
T1_switch_extension,density,2000.0,0.7,1200.0,0.9,19
T1_switch_extension,density,2000.0,0.7,1200.0,0.925,19
T1_switch_extension,density,2000.0,0.7,1250.0,0.7,19
T1_switch_extension,density,2000.0,0.7,1250.0,0.75,19
T1_switch_extension,density,2000.0,0.7,1250.0,0.8,19
T1_switch_extension,density,2000.0,0.7,1250.0,0.825,19
T1_switch_extension,density,2000.0,0.7,1250.0,0.85,19
T1_switch_extension,density,2000.0,0.7,1250.0,0.875,19
T1_switch_extension,density,2000.0,0.7,1250.0,0.9,19
T1_switch_extension,density,2000.0,0.7,1250.0,0.925,19
T1_switch_extension,density,2000.0,0.7,1300.0,0.7,19
T1_switch_extension,density,2000.0,0.7,1300.0,0.75,19
T1_switch_extension,density,2000.0,0.7,1300.0,0.8,19
T1_switch_extension,density,2000.0,0.7,1300.0,0.825,19
T1_switch_extension,density,2000.0,0.7,1300.0,0.85,19
T1_switch_extension,density,2000.0,0.7,1300.0,0.875,19
T1_switch_extension,density,2000.0,0.7,1300.0,0.9,19
T1_switch_extension,density,2000.0,0.7,1300.0,0.925,19
T1_switch_extension,density,2000.0,0.7,1350.0,0.7,19
T1_switch_extension,density,2000.0,0.7,1350.0,0.75,19
T1_switch_extension,density,2000.0,0.7,1350.0,0.8,19
T1_switch_extension,density,2000.0,0.7,1350.0,0.825,19
T1_switch_extension,density,2000.0,0.7,1350.0,0.85,19
T1_switch_extension,density,2000.0,0.7,1350.0,0.875,19
T1_switch_extension,density,2000.0,0.7,1350.0,0.9,19
T1_switch_extension,density,2000.0,0.7,1350.0,0.925,19
T1_switch_extension,density,2000.0,0.7,1400.0,0.7,19
T1_switch_extension,density,2000.0,0.7,1400.0,0.75,19
T1_switch_extension,density,2000.0,0.7,1400.0,0.8,19
