T2_C,classification,rho_final,growth_fraction,candidate_id,median_reduction,span20,window_width_C,lower_bracketed,upper_bracketed,complete
800,density_exhaustion,0.9063328115525847,0.14404522388052476,A_155976,0.11282604664289253,0.0,50,True,True,True
825,density_exhaustion,0.9066720875601093,0.14404523630979194,A_155976,0.11282604664289253,0.0,50,True,True,True
850,density_exhaustion,0.9073515239793074,0.1440452772609715,A_155976,0.11282604664289253,0.0,50,True,True,True
875,density_exhaustion,0.9086599573497427,0.1440454047231312,A_155976,0.11282604664289253,0.0,50,True,True,True
900,density_exhaustion,0.9110726522247817,0.14404577968873977,A_155976,0.11282604664289253,0.0,50,True,True,True
925,density_exhaustion,0.9152931728665161,0.14404682032060245,A_155976,0.11282604664289253,0.0,50,True,True,True
950,density_exhaustion,0.9221752045620488,0.14404953142644916,A_155976,0.11282604664289253,0.0,50,True,True,True
975,density_exhaustion,0.932317419540114,0.14405610690619697,A_155976,0.11282604664289253,0.0,50,True,True,True
1000,density_exhaustion,0.9451500992264252,0.1440708183094206,A_155976,0.11282604664289253,0.0,50,True,True,True
1025,density_exhaustion,0.958013233963742,0.14410117664761413,A_155976,0.11282604664289253,0.0,50,True,True,True
1050,density_exhaustion,0.9670841906747071,0.1441605632015759,A_155976,0.11282604664289253,0.0,50,True,True,True
1075,density_exhaustion,0.9709275663046141,0.14427686445342558,A_155976,0.11282604664289253,0.0,50,True,True,True
1100,density_exhaustion,0.9719218989942504,0.14451191508347994,A_155976,0.11282604664289253,0.0,50,True,True,True
1125,density_exhaustion,0.9731219699172392,0.1449960108432724,A_155976,0.11282604664289253,0.0,50,True,True,True
1150,density_exhaustion,0.9780326010337141,0.14601636357099812,A_155976,0.11282604664289253,0.0,50,True,True,True
1175,success,0.9917556534903772,0.14845982770332644,A_155976,0.11282604664289253,0.0,50,True,True,True
1200,success,0.9949287982849296,0.15271078371373403,A_155976,0.11282604664289253,0.0,50,True,True,True
1225,success,0.9949997739353448,0.18782850024810327,A_155976,0.11282604664289253,0.0,50,True,True,True
1250,grain_growth,0.9949935024876105,0.2379029863012474,A_155976,0.11282604664289253,0.0,50,True,True,True
1275,grain_growth,0.9949269920891038,0.333761433644306,A_155976,0.11282604664289253,0.0,50,True,True,True
1300,grain_growth,0.9948818739827895,0.4496083953009613,A_155976,0.11282604664289253,0.0,50,True,True,True
1325,grain_growth,0.9949338923749556,0.5224868462292613,A_155976,0.11282604664289253,0.0,50,True,True,True
1350,grain_growth,0.9947731282747149,0.48048387085615984,A_155976,0.11282604664289253,0.0,50,True,True,True
1375,grain_growth,0.9945106020698771,0.415094147191595,A_155976,0.11282604664289253,0.0,50,True,True,True
1400,grain_growth,0.9943275156356862,1.2058266093330339,A_155976,0.11282604664289253,0.0,50,True,True,True
1425,grain_growth,0.9946686364408049,0.7305754064788865,A_155976,0.11282604664289253,0.0,50,True,True,True
1450,grain_growth,0.9942428474404507,0.6715339614968749,A_155976,0.11282604664289253,0.0,50,True,True,True
1475,grain_growth,0.9933728090391322,5.132519521145614,A_155976,0.11282604664289253,0.0,50,True,True,True
1500,grain_growth,0.9945977083815963,7.585654044386244,A_155976,0.11282604664289253,0.0,50,True,True,True
1525,mixed,0.92364496942383,14.447411487920174,A_155976,0.11282604664289253,0.0,50,True,True,True
1550,mixed,0.9383523794341184,18.360592931030645,A_155976,0.11282604664289253,0.0,50,True,True,True
800,mixed,0.8822639419920845,1.0128521230866072,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
825,mixed,0.8823850600877131,1.012852146615212,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
850,mixed,0.8826286902599575,1.012852224370965,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
875,mixed,0.8831019936285421,1.0128524679045792,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
900,mixed,0.8839896677873885,1.012853192976226,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
925,mixed,0.8855932038482738,1.0128552503050696,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
950,mixed,0.8883704709299558,1.0128608231560308,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
975,mixed,0.8929480958656592,1.0128752502483773,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1000,mixed,0.9000613745091505,1.0129109527012505,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1025,mixed,0.9103775217395775,1.0129953615305762,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1050,mixed,0.9241228769067225,1.0131858814201053,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1075,mixed,0.9402559466731937,1.0135973064814086,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1100,mixed,0.9557564269061198,1.014461635664281,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1125,mixed,0.9676548389260241,1.016350121191775,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1150,mixed,0.9763324246913399,1.0217965317941946,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1175,grain_growth,0.9821413816769458,1.0425096065018447,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
