material_id,peak_T_C,hold_h,fast_rate_C_min,attained,max_ratio,median_ratio,span_ge_1p2,span_ge_1p5,span_ge_2p0,integrated_separation,effect_rho_min,effect_rho_max,meaningful,extreme_warning,promotion_blocked,rejection_reason,Q_GB_diffusion,D_GB_prefactor,Q_surface_diffusion,D_surface_prefactor,Q_disconnection_nucleation,v_star,nu0_nucleation,Q_exchange,tau_exchange_prefactor,Q_transport,tau_transport_prefactor,stress_concentration,gamma_s,gamma_GB,zeta_eta_ratio,event_strain,pore_radius0,pore_ln_sigma,G0,rho0,PR_prefactor,PR_partition,activity_form,ablation_mode,no_PR_meaningful,no_nucleation_meaningful,survives_causal_gate
E0213,1550,8,50,True,3.802832973469163,3.6564945829062694,0.16600000000000015,0.16000000000000014,0.15100000000000013,0.19332182711145682,0.76,0.9200000000000002,True,False,False,PR_ablation_did_not_collapse,350000.0,2e-05,550000.0,0.0002,500000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.95,1.0000000000000001e-07,0.75,2e-06,GB_to_TJ,serial_fraction,full_material_model,True,False,False
E0217,1550,8,100,True,1.7381021544884008,1.6692419458664025,0.17000000000000015,0.15500000000000014,0.0,0.0843351846451286,0.765,0.9200000000000002,True,False,False,PR_ablation_did_not_collapse,350000.0,2e-05,475000.0,0.0002,500000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,3.0000000000000004e-07,0.7,2e-05,large_pore_tail,serial_fraction,full_material_model,True,False,False
E0296,1550,8,100,True,1.6067397316054908,1.5696390813860095,0.17000000000000015,0.13900000000000012,0.0,0.0749958527948382,0.75,0.8890000000000001,True,False,False,PR_ablation_did_not_collapse,350000.0,2e-05,700000.0,0.0002,500000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,3,1.0,0.35,1,0.004,3.5e-08,0.65,3.0000000000000004e-07,0.7,0.0002,isolation,serial_fraction,full_material_model,True,False,False
E0330,1550,20,50,True,2.3374785138100536,1.1870646604225674,0.07700000000000007,0.019000000000000017,0.0040000000000000036,0.036898558114648476,0.9010000000000001,0.9200000000000002,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,325000.0,0.0002,500000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,3,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,7.500000000000001e-08,0.75,2e-06,GB_to_TJ,serial_fraction,full_material_model,,,
E0334,1550,8,100,True,1.582863039281292,1.4076498476031825,0.17000000000000015,0.039000000000000035,0.0,0.05700037596082959,0.8810000000000001,0.9200000000000002,True,False,False,PR_ablation_did_not_collapse,350000.0,2e-05,700000.0,0.0002,450000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,1.5000000000000002e-07,0.7,2e-05,balanced,serial_fraction,full_material_model,True,False,False
E0367,1550,8,20,True,1.2238865733986115,1.1063058579319094,0.010000000000000009,0.0,0.0,0.018586593674808943,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,625000.0,0.0002,550000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,1,0.004,3.5e-08,0.35,5.0000000000000004e-08,0.65,2e-06,large_pore_tail,serial_fraction,full_material_model,,,
E0371,1550,8,100,True,3.125974473489403,1.308051003319871,0.1160000000000001,0.050000000000000044,0.015000000000000013,0.05798511586924355,0.751,0.801,True,False,False,PR_ablation_did_not_collapse,350000.0,2e-05,550000.0,0.0002,550000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,1.0000000000000001e-07,0.75,2e-05,isolation,serial_fraction,full_material_model,True,False,False
E0375,1550,8,50,True,1.595949478340779,1.3924923424979772,0.16900000000000015,0.04300000000000004,0.0,0.05746390640579077,0.755,0.798,True,False,False,PR_ablation_did_not_collapse,350000.0,2e-05,400000.0,0.0002,500000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,3.0000000000000004e-07,0.75,0.0002,smoothing,serial_fraction,full_material_model,True,False,False
E0413,1550,8,50,True,1.6241654037365858,1.3800385546716394,0.17000000000000015,0.03500000000000003,0.0,0.05568972848593953,0.75,0.785,True,False,False,PR_ablation_did_not_collapse,350000.0,2e-05,475000.0,0.0002,500000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,30,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,1.5000000000000002e-07,0.7,0.0002,GB_to_TJ,serial_fraction,full_material_model,True,False,False
E0492,1550,8,20,True,1.2666571150067722,1.0855097673280605,0.026000000000000023,0.0,0.0,0.017571877517282283,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,700000.0,0.0002,500000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,2.2500000000000002e-07,0.75,0.002,large_pore_tail,serial_fraction,full_material_model,,,
E0496,1550,8,50,True,1.5971685133295974,1.5586411572365084,0.17000000000000015,0.17000000000000015,0.0,0.07571837061534017,0.75,0.9200000000000002,True,False,False,PR_ablation_did_not_collapse,350000.0,2e-05,550000.0,0.0002,450000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,3,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,5.0000000000000004e-08,0.7,2e-06,isolation,serial_fraction,full_material_model,True,False,False
E0500,1550,8,100,True,1.5987447093800642,1.5558001754347839,0.17000000000000015,0.13500000000000012,0.0,0.07382201512850776,0.785,0.9200000000000002,True,False,False,PR_ablation_did_not_collapse,350000.0,2e-05,475000.0,0.0002,450000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,1.5000000000000002e-07,0.65,2e-05,smoothing,serial_fraction,full_material_model,True,False,False
