config_id,law,m,prefactor_factor,state_kind,T2_C,hold_h,initial_rho,initial_G_nm,initial_closed_fraction,initial_A_closed,initial_PR_memory,final_rho,final_G_um,Delta_rho_open,Delta_rho_closed,classification,strict_success,candidate_state_injected,diagnostic_only,inventory_bounded_integral
GB_diffusion_closed_shrinkage__m3__x0p03,GB_diffusion_closed_shrinkage,3,0.03,candidate_like_injected,1075,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999679358813042,0.1515788019250192,0.0003500554673619,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x0p03,GB_diffusion_closed_shrinkage,3,0.03,candidate_like_injected,1100,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999687389165232,0.1808960516085704,0.0006609018158258,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x0p03,GB_diffusion_closed_shrinkage,3,0.03,candidate_like_injected,1125,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.999966504665194,0.2298737481125963,0.0012045674104796,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x0p03,GB_diffusion_closed_shrinkage,3,0.03,candidate_like_injected,1150,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999695267943832,0.3079546910629981,0.0020498636970398,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x0p03,GB_diffusion_closed_shrinkage,3,0.03,candidate_like_injected,1175,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999707546244744,0.4325892637450271,0.0029794329979812,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x0p03,GB_diffusion_closed_shrinkage,3,0.03,candidate_like_injected,1200,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999725894927384,0.6290195974384446,0.0046348425619969,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x0p03,GB_diffusion_closed_shrinkage,3,0.03,candidate_like_injected,1225,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999745290020786,0.9346624096230088,0.0070665338138558,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x0p03,GB_diffusion_closed_shrinkage,3,0.03,candidate_like_injected,1250,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999763769522138,1.3846928200932616,0.0101915212030765,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x0p03,GB_diffusion_closed_shrinkage,3,0.03,candidate_like_injected,1275,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.99997672203217,2.004813255468,0.0145055956667391,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x0p03,GB_diffusion_closed_shrinkage,3,0.03,candidate_like_injected,1300,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999775556147288,2.7973611816909325,0.020208900994048,0.12,GRAIN_GROWTH_FAILURE,False,True,True,True
GB_diffusion_closed_shrinkage__m3__x0p1,GB_diffusion_closed_shrinkage,3,0.1,candidate_like_injected,900,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999667808936978,0.1171507278223633,1.1392482830499338e-06,0.12,SUCCESS,True,True,True,True
GB_diffusion_closed_shrinkage__m3__x0p1,GB_diffusion_closed_shrinkage,3,0.1,candidate_like_injected,925,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999668096553596,0.1173636662104141,2.8526099551909956e-06,0.12,SUCCESS,True,True,True,True
