config_id,law,m,prefactor_factor,T1_C,rho_switch,switch_density,T2_C,hold_h,classification,first_step_attained,rho1,G1_um,final_rho,final_G_um,strict_success,closed_fraction_at_switch,A_closed_at_switch,PR_memory_at_switch,map_resolution_C
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,1225,20,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,900,40,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,925,40,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,950,40,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,975,40,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,1000,40,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,1025,40,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,1050,40,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,1075,40,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,1100,40,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,1125,40,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,1150,40,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,1175,40,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,1200,40,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.8,0.8,1225,40,UNATTAINABLE_FIRST_STEP,False,0.8001250613007782,0.07643206999474417,0.66,0.05,False,0.0003360481518610335,0.036754056661148254,0.10551853529859881,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,900,20,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,925,20,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,950,20,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,975,20,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1000,20,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1025,20,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1050,20,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1075,20,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1100,20,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1125,20,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1150,20,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1175,20,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1200,20,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1225,20,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,900,40,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,925,40,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,950,40,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,975,40,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1000,40,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1025,40,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1050,40,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1075,40,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1100,40,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1125,40,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1150,40,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1175,40,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1200,40,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.85,0.85,1225,40,UNATTAINABLE_FIRST_STEP,False,0.8503223591604758,0.10935222022198503,0.66,0.05,False,0.0006060204622120657,0.04213124829720817,0.14290303858557754,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,900,20,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,925,20,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,950,20,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,975,20,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1000,20,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1025,20,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1050,20,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1075,20,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1100,20,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1125,20,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1150,20,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1175,20,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1200,20,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1225,20,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,900,40,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,925,40,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,950,40,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,975,40,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1000,40,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1025,40,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1050,40,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1075,40,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1100,40,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,1250,0.88,0.88,1125,40,UNATTAINABLE_FIRST_STEP,False,0.8606404130224832,0.12349377767956489,0.66,0.05,False,0.0006187665185015434,0.04247986488958462,0.15320524533934518,25
