material_id,peak_T_C,hold_h,fast_rate_C_min,attained,max_ratio,median_ratio,span_ge_1p2,span_ge_1p5,span_ge_2p0,integrated_separation,effect_rho_min,effect_rho_max,meaningful,extreme_warning,promotion_blocked,rejection_reason,Q_GB_diffusion,D_GB_prefactor,Q_surface_diffusion,D_surface_prefactor,Q_disconnection_nucleation,v_star,nu0_nucleation,Q_exchange,tau_exchange_prefactor,Q_transport,tau_transport_prefactor,stress_concentration,gamma_s,gamma_GB,zeta_eta_ratio,event_strain,pore_radius0,pore_ln_sigma,G0,rho0,PR_prefactor,PR_partition,activity_form,ablation_mode,no_PR_meaningful,no_nucleation_meaningful,survives_causal_gate,causal_type,physical_plausibility,selected,reclassified_rejection_reason
E0005,1550,20,20,True,1.3422009573688434,1.1336706879398055,0.02,0.0,0.0,0.0238492313682817,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,325000.0,0.0002,550000.0,2.0000000000000002e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,3,1.0,0.35,1.0,0.004,3.5e-08,0.35,7.500000000000001e-08,0.65,2e-06,GB_to_TJ,serial_fraction,full_material_model,nan,nan,nan,not_strict,False,False,nucleation_ablation_or_strict_rule_failed
E0013,1550,8,100,True,2.3956086869760047,1.4329790821897777,0.1650000000000001,0.067,0.011,0.0673663562493145,0.751,0.8180000000000001,True,False,False,PR_ablation_did_not_collapse,350000.0,2e-05,625000.0,0.0002,500000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,30,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,7.500000000000001e-08,0.75,0.0002,GB_to_TJ,serial_fraction,full_material_model,True,False,False,nucleation_limited_PR_independent,True,False,
E0021,1550,8,50,True,1.859543903595372,1.6955217568197216,0.1700000000000001,0.1700000000000001,0.0,0.0893059357514983,0.75,0.9200000000000002,True,False,False,PR_ablation_did_not_collapse,350000.0,2e-05,475000.0,0.0002,500000.0,2.0000000000000002e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,3,1.0,0.35,1.0,0.004,3.5e-08,0.65,5e-08,0.7,2e-06,isolation,serial_fraction,full_material_model,True,False,False,nucleation_limited_PR_independent,True,True,
E0063,1450,8,50,True,1.6879328800765576,1.6553305569514984,0.1700000000000001,0.1700000000000001,0.0,0.0841734144507832,0.75,0.9200000000000002,True,False,False,PR_ablation_did_not_collapse,350000.0,2e-05,400000.0,0.0002,450000.0,2.0000000000000002e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,1.0,0.004,3.5e-08,0.35,7.500000000000001e-08,0.65,2e-06,GB_to_TJ,serial_fraction,full_material_model,True,False,False,nucleation_limited_PR_independent,True,False,
E0088,1550,8,20,True,1.2243578143712583,1.107358617187579,0.011,0.0,0.0,0.018731826357603,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,475000.0,0.0002,550000.0,2.0000000000000002e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,30,1.0,0.35,1.0,0.004,3.5e-08,0.35,2.2500000000000002e-07,0.65,0.0002,GB_to_TJ,serial_fraction,full_material_model,nan,nan,nan,not_strict,False,False,nucleation_ablation_or_strict_rule_failed
E0100,1550,8,100,True,1.8621425104501288,1.5528628933789812,0.1700000000000001,0.1070000000000001,0.0,0.0760014481026482,0.75,0.8570000000000001,True,False,False,PR_ablation_did_not_collapse,350000.0,2e-05,700000.0,0.0002,500000.0,8.000000000000001e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,5e-08,0.7,2e-05,smoothing,serial_fraction,full_material_model,True,False,False,nucleation_limited_PR_independent,True,False,
E0138,1450,8,20,True,1.2231820674172986,1.1873256877865184,0.065,0.0,0.0,0.0279738650276869,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,700000.0,0.0002,450000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,3.0000000000000004e-07,0.7,2e-06,GB_to_TJ,serial_fraction,full_material_model,nan,nan,nan,not_strict,False,False,nucleation_ablation_or_strict_rule_failed
E0142,1550,8,50,True,1.7961615996597604,1.787348472050584,0.1700000000000001,0.1700000000000001,0.0,0.0983565418193242,0.75,0.9200000000000002,True,False,False,PR_ablation_did_not_collapse,350000.0,2e-05,625000.0,0.0002,450000.0,8.000000000000001e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,7.500000000000001e-08,0.65,2e-05,large_pore_tail,serial_fraction,full_material_model,True,False,False,nucleation_limited_PR_independent,True,True,
E0150,1550,8,20,True,1.2897907843190657,1.0862479895860315,0.028,0.0,0.0,0.0180018664203448,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,400000.0,0.0002,400000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,1,1.0,0.35,2.0,0.004,5e-08,0.95,7.500000000000001e-08,0.75,0.002,smoothing,serial_fraction,full_material_model,nan,nan,nan,not_strict,False,False,nucleation_ablation_or_strict_rule_failed
E0175,1550,8,50,True,1.9817890415375536,1.131346363188582,0.059,0.017,0.0,0.0311808611255291,0.751,0.768,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,550000.0,0.0002,550000.0,2.0000000000000002e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,1,1.0,0.35,1.0,0.004,3.5e-08,0.95,2.2500000000000002e-07,0.75,2e-06,smoothing,serial_fraction,full_material_model,nan,nan,nan,not_strict,True,False,nucleation_ablation_or_strict_rule_failed
